episode_id,segment_id,canonical_verb,start_time,end_time,duration,tracking_valid_frac,pose_ref,video_path,source_data_path
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000000,fold_clothes,0.0,1.0,1.0,1.0,,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000000.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000001,fold_clothes,1.0,2.0,1.0,1.0,,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000001.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000002,fold_clothes,2.0,3.0,1.0,1.0,,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000002.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000003,fold_clothes,3.0,4.0,1.0,1.0,,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000003.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000004,fold_clothes,4.0,5.0,1.0,1.0,,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000004.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000005,fold_clothes,5.0,6.0,1.0,1.0,,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000005.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000006,fold_clothes,6.0,7.0,1.0,1.0,,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000006.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000007,fold_clothes,7.0,8.0,1.0,1.0,,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000007.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000008,fold_clothes,8.0,9.0,1.0,1.0,,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000008.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000009,fold_clothes,9.0,10.0,1.0,1.0,,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000009.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000010,fold_clothes,10.0,11.0,1.0,1.0,,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000010.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000011,fold_clothes,11.0,12.0,1.0,1.0,,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000011.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000012,fold_clothes,12.0,13.0,1.0,1.0,,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000012.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000013,fold_clothes,13.0,14.0,1.0,1.0,,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000013.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000014,fold_clothes,14.0,15.0,1.0,1.0,,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000014.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
