episode_id,segment_id,canonical_verb,start_time,end_time,duration,tracking_valid_frac,measured_tracking_valid_frac,tracking_quality,missing_value_rate,interpolated_value_count,coordinate_mode,pose_source_path,video_path,source_data_path,is_valid,rejection_reason,cluster_id,mean_same_verb_knn_distance,distinctiveness_percentile,cluster_rarity,potential_tracking_outlier,selected,selection_reason
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000000,fold_clothes,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,per_frame_inverse_head_to_world:obs_head_pose,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000000.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,True,,fold_clothes__0,4.992593070416477,0.5445544554455446,0.8514851485148515,False,False,
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000001,fold_clothes,1.0,2.0,1.0,1.0,,,,,,,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000001.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,False,tracking_rejected:fewer than two pose frames overlap segment timestamps,,,,,,False,
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000002,fold_clothes,2.0,3.0,1.0,1.0,,,,,,,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000002.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,False,tracking_rejected:fewer than two pose frames overlap segment timestamps,,,,,,False,
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000003,fold_clothes,3.0,4.0,1.0,1.0,1.0,1.0,0.0,0,per_frame_inverse_head_to_world:obs_head_pose,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000003.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,True,,fold_clothes__1,4.351892940534548,0.2871287128712871,0.3564356435643564,False,False,
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000004,fold_clothes,4.0,5.0,1.0,1.0,1.0,1.0,0.0,0,per_frame_inverse_head_to_world:obs_head_pose,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000004.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,True,,fold_clothes__1,4.346776812972868,0.27722772277227725,0.3564356435643564,False,False,
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000005,fold_clothes,5.0,6.0,1.0,1.0,1.0,1.0,0.0,0,per_frame_inverse_head_to_world:obs_head_pose,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000005.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,True,,fold_clothes__2,4.52531437721207,0.37623762376237624,0.900990099009901,False,True,facility_location_gain_per_second
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000006,fold_clothes,6.0,7.0,1.0,1.0,1.0,1.0,0.0,0,per_frame_inverse_head_to_world:obs_head_pose,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000006.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,True,,fold_clothes__3,7.3917613494002605,0.9504950495049505,0.8910891089108911,False,True,facility_location_gain_per_second
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000007,fold_clothes,7.0,8.0,1.0,1.0,1.0,1.0,0.0,0,per_frame_inverse_head_to_world:obs_head_pose,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000007.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,True,,fold_clothes__3,5.895476938287621,0.693069306930693,0.8910891089108911,False,False,
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000008,fold_clothes,8.0,9.0,1.0,1.0,1.0,1.0,0.0,0,per_frame_inverse_head_to_world:obs_head_pose,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000008.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,True,,fold_clothes__0,4.386558420211739,0.3069306930693069,0.8514851485148515,False,False,
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000009,fold_clothes,9.0,10.0,1.0,1.0,,,,,,,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000009.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,False,tracking_rejected:fewer than two pose frames overlap segment timestamps,,,,,,False,
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000010,fold_clothes,10.0,11.0,1.0,1.0,,,,,,,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000010.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,False,tracking_rejected:fewer than two pose frames overlap segment timestamps,,,,,,False,
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000011,fold_clothes,11.0,12.0,1.0,1.0,,,,,,,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000011.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,False,tracking_rejected:fewer than two pose frames overlap segment timestamps,,,,,,False,
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000012,fold_clothes,12.0,13.0,1.0,1.0,,,,,,,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000012.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,False,tracking_rejected:fewer than two pose frames overlap segment timestamps,,,,,,False,
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000013,fold_clothes,13.0,14.0,1.0,1.0,1.0,1.0,0.0,0,per_frame_inverse_head_to_world:obs_head_pose,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/segments/2025-09-20-17-42-51-000000/front_1/000013.mp4,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000,True,,fold_clothes__1,3.805093074897443,0.16831683168316833,0.3564356435643564,False,False,
